Display_Name;Original_Variants
ultimato frisbee;ultimato frisbee
universe;universe
vacation;vacation
vegetarian;vegetarian
video;video, video game
vintage;vintage
violin;violin
vodka;vodka
volleyball;volleyball
walking;walking
war;war
warcraft;warcraft
waterfall;waterfall
weather;weather
web;web
weed;weed
whiskey;whiskey
wife;wife
wilderness;wilderness
wind;wind
wine;wine, winery
wisdom;wisdom
wood;wood
workout;workout
writer;writer
yoga;yoga
zoo;zoo
